Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Amenities;Square Feet;Price;Cleaning Fee;Availability 90;Review Scores Rating
Chamberí;House;Private room;2;2.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;35.0;5.0;76;96.0
Centro;House;Entire home/apt;2;1.0;0.0;1.0;TV,Internet,Wireless Internet,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo;;65.0;;19;95.0
Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;33.0;;68;99.0
Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox;;58.0;30.0;48;92.0
Latina;Apartment;Private room;2;1.0;1.0;2.0;Wireless Internet,Kitchen,Breakfast,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;18.0;;1;100.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;38.0;12.0;63;91.0
Arganzuela;Apartment;Private room;2;1.0;1.0;5.0;Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,Private living room;;31.0;;45;73.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;;75.0;15.0;78;95.0
Centro;Apartment;Entire home/apt;8;2.0;4.0;6.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;135.0;60.0;38;95.0
Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace;;50.0;;0;
Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;59.0;30.0;50;88.0
Puente de Vallecas;Apartment;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;50.0;;0;
Ciudad Lineal;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;35.0;15.0;77;100.0
Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;85.0;25.0;25;92.0
Retiro;Apartment;Entire home/apt;5;1.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;80.0;30.0;32;94.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo;;65.0;7.0;33;95.0
Centro;Apartment;Entire home/apt;4;2.0;1.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;80.0;2;
Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room;;90.0;20.0;41;93.0
Puente de Vallecas;Apartment;Entire home/apt;5;2.0;3.0;4.0;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Shampoo;;75.0;40.0;0;
Retiro;House;Private room;2;2.0;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Doorman,Heating,Washer;;70.0;;90;
Centro;Condominium;Entire home/apt;4;1.0;2.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;200.0;90.0;82;
Centro;Apartment;Private room;2;1.0;1.0;1.0;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo;;45.0;15.0;54;95.0
Barajas;House;Entire home/apt;8;3.5;4.0;6.0;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Safety card,Essentials;;180.0;;1;91.0
Barajas;House;Private room;4;2.0;2.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Pool,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49;;30.0;10.0;74;
Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;23.0;5.0;84;93.0
Retiro;Bed & Breakfast;Private room;2;2.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Doorman,Breakfast,Pets live on this property,Cat(s),Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;25.0;90;80.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Cable TV,Internet,Wireless Internet,Kitchen,Doorman,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;;59.0;;12;96.0
Centro;Apartment;Entire home/apt;3;1.0;0.0;1.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;;75.0;;10;97.0
Usera;Bed & Breakfast;Private room;2;1.0;1.0;2.0;Internet,Wireless Internet,Kitchen,Breakfast,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;20.0;;78;100.0
Centro;Apartment;Entire home/apt;6;2.5;3.0;5.0;TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;115.0;50.0;36;98.0
Retiro;Apartment;Private room;2;1.0;1.0;2.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo;;30.0;;9;97.0
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace;;50.0;;0;91.0
Retiro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;20.0;0;
Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;2.0;Internet,Wireless Internet,Air conditioning,Kitchen,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;80.0;30.0;75;87.0
Centro;House;Entire home/apt;8;3.5;4.0;5.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;;299.0;50.0;50;98.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;65.0;;36;93.0
Chamberí;Apartment;Entire home/apt;6;1.0;1.0;4.0;TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;45.0;15.0;60;100.0
Usera;House;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Pets live on this property,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo;;18.0;;65;100.0
Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;170.0;140.0;62;100.0
Centro;Apartment;Entire home/apt;6;2.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;107.0;35.0;3;98.0
Usera;Apartment;Private room;2;1.0;1.0;2.0;TV,Wireless Internet,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Elevator in building,Washer,Essentials,Lock on bedroom door,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;23.0;;90;
Chamartín;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Doorman,Pets live on this property,Dog(s),Elevator in building,Buzzer/wireless intercom,Heating;;45.0;;90;94.0
Salamanca;Apartment;Entire home/apt;2;1.0;1.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Indoor fireplace,Washer,Essentials,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;100.0;100.0;45;
Centro;Apartment;Entire home/apt;14;2.0;3.0;14.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,First aid kit,Fire extinguisher,Essentials;;120.0;60.0;59;92.0
Carabanchel;House;Private room;3;1.0;1.0;3.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Laptop friendly workspace;;20.0;;1;100.0
Carabanchel;Apartment;Private room;1;;1.0;;;;45.0;;90;
Centro;Apartment;Private room;1;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Heating,Smoke detector,First aid kit,Fire extinguisher,Essentials;;21.0;;0;100.0
Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;60.0;30.0;55;100.0
Salamanca;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_50;;128.0;;89;
Centro;House;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo;;50.0;;26;98.0
Centro;Apartment;Entire home/apt;16;3.0;5.0;14.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;200.0;60.0;13;98.0
Latina;Apartment;Entire home/apt;6;2.0;3.0;4.0;Air conditioning,Kitchen,Hot tub,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron;;60.0;45.0;5;
Centro;Bed & Breakfast;Private room;2;2.0;1.0;;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Indoor fireplace,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;;50.0;;90;
Centro;Apartment;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;40.0;10.0;19;90.0
Salamanca;Apartment;Entire home/apt;3;1.0;0.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer;;50.0;15.0;73;89.0
Chamberí;Apartment;Private room;1;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Washer;;22.0;15.0;64;87.0
Centro;Apartment;Entire home/apt;12;2.0;4.0;6.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Hair dryer,Iron;;160.0;50.0;42;93.0
Puente de Vallecas;Apartment;Entire home/apt;1;1.0;0.0;1.0;Wireless Internet,Kitchen,Breakfast,Family/kid friendly,Washer,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;40.0;;90;
Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;2.0;TV,Kitchen,Heating,Family/kid friendly,Washer,Hangers,Iron,translation missing: en.hosting_amenity_50;;65.0;10.0;36;100.0
Centro;Apartment;Private room;1;1.0;1.0;1.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;25.0;;35;90.0
Chamartín;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;40.0;;35;
Ciudad Lineal;House;Private room;2;1.0;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;;34.0;;90;
Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;59.0;;52;93.0
Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;23.0;;29;96.0
Centro;Apartment;Entire home/apt;5;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Iron;;75.0;;53;84.0
Retiro;Apartment;Private room;1;2.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Pets live on this property,Elevator in building,Heating,Washer,Dryer,First aid kit,Essentials,Shampoo;;20.0;;5;90.0
Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;55.0;20.0;44;87.0
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer;484.0;60.0;35.0;28;88.0
Arganzuela;Apartment;Private room;2;1.0;2.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace;;45.0;;42;93.0
Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;40.0;39;96.0
Latina;Apartment;Entire home/apt;6;1.0;3.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;55.0;30.0;49;89.0
Retiro;Apartment;Private room;1;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;23.0;;18;93.0
Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;;69.0;25.0;12;87.0
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;55.0;20.0;28;
Moncloa - Aravaca;House;Private room;1;0.0;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Smoking allowed,Pets allowed,Doorman,Gym,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Lock on bedroom door,24-hour check-in,Laptop friendly workspace;;29.0;;6;
Moncloa - Aravaca;Townhouse;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;20.0;10.0;61;
Arganzuela;Apartment;Entire home/apt;6;2.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;40.0;28;
Villaverde;Apartment;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Heating,Washer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;13.0;;34;
Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;TV,Air conditioning,Kitchen,Heating,Essentials;;25.0;;90;
Centro;Guesthouse;Private room;3;1.0;1.0;2.0;TV,Wireless Internet,Air conditioning,Elevator in building,Heating,Family/kid friendly,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;65.0;;77;
Chamartín;Apartment;Entire home/apt;2;1.0;1.0;1.0;Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace;;120.0;;11;
Tetuán;Apartment;Private room;2;0.0;1.0;1.0;TV,Wireless Internet,Smoking allowed,Doorman,Elevator in building,Heating,First aid kit,Fire extinguisher,Essentials,Shampoo;;75.0;;90;
Chamberí;Apartment;Entire home/apt;4;1.0;2.0;2.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;55.0;17.0;0;100.0
Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;;;170.0;;4;
Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Smoke detector,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;37.0;;0;80.0
Centro;House;Private room;1;2.0;1.0;1.0;Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;31.0;39.0;71;94.0
Salamanca;Apartment;Private room;1;2.0;1.0;1.0;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Laptop friendly workspace;;24.0;;65;
Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hair dryer,Iron;;64.0;30.0;34;95.0
Tetuán;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Wireless Internet,Wheelchair accessible,Pool,Kitchen,Elevator in building,Heating,Washer,Dryer,Smoke detector,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Doorman Entry;;30.0;5.0;15;100.0
Latina;Apartment;Private room;2;1.5;1.0;1.0;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;;20.0;;0;100.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer;0.0;35.0;;57;96.0
Hortaleza;House;Private room;1;1.0;1.0;1.0;Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Gym,Elevator in building,Heating,Family/kid friendly,Essentials,Hangers,Laptop friendly workspace;;30.0;;81;98.0
Ciudad Lineal;Apartment;Entire home/apt;2;1.0;1.0;2.0;Kitchen,Elevator in building,Heating,Washer,Essentials;;31.0;;0;93.0
Centro;Apartment;Private room;1;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;;0;
Salamanca;Apartment;Entire home/apt;3;2.0;2.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Hot tub,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;150.0;20.0;47;90.0
Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;72.0;25.0;20;98.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Cable TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;55.0;25.0;53;93.0
Usera;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials;;45.0;;5;100.0
Fuencarral - El Pardo;Apartment;Entire home/apt;3;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;37.0;20.0;0;
Chamartín;Loft;Entire home/apt;16;3.0;10.0;16.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Suitable for events,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;750.0;;90;
Salamanca;Apartment;Entire home/apt;4;1.0;2.0;3.0;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;64.0;30.0;3;95.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Suitable for events,Washer,Dryer,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;29.0;5.0;38;
Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;100.0;;3;98.0
